['oscillation number 1:', 0.010544363434928107]
['oscillation number 2:', 0.01280765397182467]
['oscillation number 3:', 0.009258148156501535]
['oscillation number 4:', 0.012429659296811434]
['oscillation number 5:', 0.006170514882580227]
['oscillation number 6:', 0.010376219145253662]
['oscillation number 7:', 0.004420703768421327]
['oscillation number 8:', 0.008570574481220304]
['oscillation number 9:', 0.0027900728427189213]
['oscillation number 10:', 0.006834754381445053]
['oscillation number 11:', 0.0026687541082860483]
['oscillation number 12:', 0.005928571477179776]
['oscillation number 13:', 0.0026993581545888806]
['oscillation number 14:', 0.005178238447787144]
['oscillation number 15:', 0.002083364964811259]
['oscillation number 16:', 0.004470017867455138]
['oscillation number 17:', 0.001055468837049514]
['oscillation number 18:', 0.0038216261510477727]
['oscillation number 19:', 0.0018653904776287933]
['oscillation number 20:', 0.0038879388728148153]
