[[ 0.          0.5016737 ]
 [ 1.06       -0.61621736]
 [ 2.12        0.60402861]
 [ 3.16       -0.57552169]
 [ 4.2         0.56112406]
 [ 5.21       -0.5258743 ]
 [ 6.22        0.51600105]
 [ 7.21       -0.49582454]
 [ 8.22        0.48110419]
 [ 9.21       -0.45978926]
 [10.19        0.44877345]
 [11.17       -0.43033787]
 [12.14        0.42449404]
 [13.13       -0.40059814]
 [14.1         0.3897418 ]
 [15.05       -0.37360037]
 [16.01        0.35911741]
 [16.98       -0.35170497]
 [17.94        0.33184888]
 [18.9        -0.32305654]
 [19.84        0.30495026]]
