[[ 0.09        0.50650483]
 [ 1.25       -0.61726634]
 [ 2.3         0.59761058]
 [ 3.35       -0.57789189]
 [ 4.39        0.55527064]
 [ 5.41       -0.54054498]
 [ 6.42        0.51607456]
 [ 7.43       -0.507342  ]
 [ 8.41        0.4837851 ]
 [ 9.41       -0.47684253]
 [10.39        0.45239886]
 [11.37       -0.44782281]
 [12.35        0.42232436]
 [13.32       -0.42012813]
 [14.28        0.39219411]
 [15.25       -0.39480219]
 [16.22        0.36413703]
 [17.18       -0.366742  ]
 [18.13        0.33208593]
 [19.09       -0.33709776]
 [20.05        0.30288874]]
