[[ 0.          0.50320524]
 [ 1.09       -0.61389619]
 [ 2.14        0.59798716]
 [ 3.19       -0.57578054]
 [ 4.22        0.56079345]
 [ 5.24       -0.53530706]
 [ 6.25        0.52605423]
 [ 7.25       -0.50391065]
 [ 8.25        0.49405424]
 [ 9.25       -0.46808853]
 [10.24        0.45108182]
 [11.21       -0.43132599]
 [12.19        0.42109205]
 [13.15       -0.39685713]
 [14.13        0.38597722]
 [15.09       -0.37538448]
 [16.05        0.3605715 ]
 [17.01       -0.35113097]
 [17.98        0.33044674]
 [18.93       -0.32564851]
 [19.89        0.29566006]]
