[[ 0.64459342  0.5016737 ]
 [-0.61621736  0.46244996]
 [ 0.60402861  0.41017623]
 [-0.57552169  0.38587607]
 [ 0.56112406  0.33373453]
 [-0.5258743   0.31174692]
 [ 0.51600105  0.28030565]
 [-0.49582454  0.26751476]
 [ 0.48110419  0.23865697]
 [-0.45978926  0.22787169]
 [ 0.44877345  0.20511683]
 [-0.43033787  0.1968667 ]
 [ 0.42449404  0.17772545]
 [-0.40059814  0.17025645]
 [ 0.3897418   0.15287066]
 [-0.37360037  0.1460973 ]
 [ 0.35911741  0.13238953]
 [-0.35170497  0.12862406]
 [ 0.33184888  0.11450252]
 [-0.32305654  0.10880783]
 [ 0.30495026  0.09721486]]
