[[ 0.64426735  0.50559837]
 [-0.61748425  0.47087439]
 [ 0.61080525  0.42448787]
 [-0.57819298  0.39537865]
 [ 0.5782114   0.36074917]
 [-0.53911279  0.33523874]
 [ 0.54167623  0.30277601]
 [-0.50403365  0.28828155]
 [ 0.51146222  0.26000265]
 [-0.47123999  0.24614478]
 [ 0.47928971  0.22536846]
 [-0.43881226  0.20818551]
 [ 0.44514685  0.18832673]
 [-0.40839537  0.17785769]
 [ 0.41310785  0.16277677]
 [-0.37407512  0.15313799]
 [ 0.38009853  0.1387918 ]
 [-0.34190587  0.13261661]
 [ 0.35161584  0.12123175]
 [-0.31723836  0.11616444]
 [ 0.32564344  0.10721762]]
